mar_emp,DiasMora,Factor,STOTAL,df_Life_M,utilizacion,prom_saldo_6m,prom_diasmora_6m,prom_df_life_M_6m,prom_utilizacion_6m,prom_saldo_12m,prom_diasmora_12m,prom_df_life_M_12m,prom_utilizacion_12m
0,0,0.9865409314,1823948.65,11,1.013304806,1824347.337,13.83333333,8.5,1.013526298,1727768.802,6.916666667,5.5,0.9598715565
0,0,0.5377699196,1922976.56,21,0.769190624,1944259.392,23.5,18.5,0.7777037567,2003380.826,14,15.5,0.8013523303
0,0,0.2966544143,1112066.58,18,1.010969618,1111483.067,0,15.5,1.010439152,1111593.257,0,12.5,1.010539324
0,0,0.9719115206,887940.91,13,0.9866010111,887013.15,2.5,10.5,0.9855701667,891095.34,1.333333333,7.5,0.9901059333
0,28,1,863000,23,0.9588888889,876905.9833,8.833333333,20.5,0.9743399815,879651.2825,5.083333333,17.5,0.9773903139
0,56,1,3108840.63,11,1.03628021,3059326.257,18.66666667,8.5,1.019775419,3049470.443,11.66666667,5.5,1.016490148
0,26,0.5,2123496.08,12,1.01118861,2123697,4.333333333,9.5,1.011284286,2123545.758,2.166666667,6.5,1.011212265
0,59,0.5,2123496.08,13,1.01118861,2123563.463,14.16666667,10.5,1.011220697,2123647.6,7.083333333,7.5,1.011260762
0,0,1.027421566,3902194.73,8,0.9755486825,2695039,0,5.5,0.67375975,2648353.069,0,4.375,0.6620882672
0,7,0.9979395351,4017476.89,11,1.004369223,3524188.202,1.166666667,8.5,0.8810470504,2935282.926,0.6363636364,5.909090909,0.7338207316
0,0,0.9908865799,245249.31,20,0.98099724,250897.5217,4.166666667,17.5,1.003590087,252030.9725,2.083333333,14.5,1.00812389
0,19,0.1226772274,417474.14,12,0.2197232316,1634008.12,3.166666667,9.5,0.8600042737,1652378.468,1.583333333,6.5,0.8696728781
0,0,0.9880709908,1894558.02,15,0.9971358,1909469.645,9.833333333,12.5,1.004984024,1905638.408,4.916666667,9.5,1.002967583
0,23,1,1871957.82,24,0.9852409579,1908252.658,11.16666667,21.5,1.004343504,1913829.216,12.66666667,18.5,1.007278535
0,55,1,1871957.82,25,0.9852409579,1893382.375,13,22.5,0.9965170395,1910101.697,16.08333333,19.5,1.005316682
0,25,1.021370845,2748802.34,9,1.018074941,2693078.885,4.166666667,6.5,0.9974366241,2102802.318,2.5,4.5,0.7788156733
0,0,0.9987815271,2911398.37,7,1.012660303,2908753.635,0,4.5,1.011740395,2909083.293,0,3.5,1.011855058
0,0,1.001098352,2904660.57,8,1.01031672,2908864.265,0,5.5,1.011778875,2908591.879,0,4,1.011684132
0,0,1.003012167,1014535.3,7,1.0145353,1014735.328,0,4.5,1.014735328,1014056.246,0,3.5,1.014056246
0,0,1.002166761,1015391.14,11,1.01539114,1017524.94,3.666666667,8.5,1.01752494,1015666.181,1.833333333,5.5,1.015666181
0,58,1,1017591.25,13,1.01759125,1018454.45,17.83333333,10.5,1.01845445,1016594.889,8.916666667,7.5,1.016594889
0,0,0.3056833335,2021570.6,7,1.0107853,2021831.765,0,4.5,1.010915883,2020786.101,0,3.5,1.010393051
0,0,0.9851056342,3539061.06,7,1.011160303,3539542.397,0,4.5,1.011297828,3536283.243,0,3.5,1.010366641
0,22,1.025266262,4013913.53,10,1.003478383,3893403.66,3.666666667,7.5,0.973350915,3705198.744,2,5,0.9262996859
0,70,1,2140996.41,14,0.8738760857,2158554.09,20.16666667,11.5,0.8810424857,2165572.223,10.08333333,8.5,0.8839070296
0,0,1.010838321,3034670.18,8,1.011556727,3034187.607,0,5.5,1.011395869,3030620.343,0,4,1.010206781
0,0,0.2472344552,1990013.89,7,1.01118592,1980600.13,0,4.5,1.006402505,1876168.67,0,3.5,0.9533377388
0,63,0.25,1968000,13,1,1978816.78,16.66666667,10.5,1.005496331,1979708.455,8.333333333,7.5,1.005949418
0,0,0.312169286,4847011.47,11,0.969402294,4631686.07,0,8.5,0.926337214,4806099.966,0,5.5,0.9612199932
0,0,0.7468387057,2011557.42,24,1.00577871,1866887.927,0,21.5,0.9334439633,1908673.413,0,18.5,0.9543367063
0,0,0.7672800848,1957966.81,32,0.978983405,1932735.398,0,29.5,0.9663676992,1887448.125,0,26.5,0.9437240625
0,0,1.306156057,2376226.71,6,0.79207557,1586978.422,0,3.5,0.5289928072,1396315.144,0,3,0.4654383814
0,50,1,3103722.91,10,1.034574303,2809705.912,12,7.5,0.9365686372,1998480.099,6.545454545,5,0.666160033
0,0,1.016843726,2000910.02,6,1.00045501,1963762.735,0,3.5,0.9818813675,1947960.354,0,3,0.9739801771
0,0,1.004619339,2025257.45,11,1.012628725,2018635.942,0,8.5,1.009317971,1978885.676,0,5.5,0.9894428379
0,50,1.012326659,2503381.47,10,1.036596882,2475597.157,31,7.5,1.02509199,2459350.4,16.90909091,5,1.018364555
0,87,1,1789857.38,12,0.5966191267,2856272.705,35.83333333,9.5,0.9520909017,2948130.263,20.16666667,6.5,0.9827100875
